Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered,total_tests,total_recovered,active_cases,NewColumn
30-01-2020,Kerala,10.8505,76.2711,1,0,0,0,0,0,951337.0,162202.0,9375.0,18750.0
31-01-2020,Kerala,10.8505,76.2711,1,0,0,0,0,0,1817530.0,271826.0,251.0,502.0
01-02-2020,Kerala,10.8505,76.2711,2,0,0,1,0,0,230861.0,178371.0,80570.0,161140.0
02-02-2020,Kerala,10.8505,76.2711,3,0,0,1,0,0,249838.0,41021.0,982.0,1964.0
03-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,1499795.0,97149.0,145.0,290.0
04-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,51382.0,2916.0,59.0,118.0
05-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,18901.0,7511.0,73.0,146.0
06-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,35716069.0,8895999.0,76591.0,153182.0
07-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,3068217.0,412048.0,2225.0,4450.0
08-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,177885.0,35199.0,281.0,562.0
09-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,70885598.0,6199822.0,386179.0,772358.0
10-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,185034905.0,4135885.0,58304.0,116608.0
11-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,6838458.0,782869.0,60.0,120.0
12-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,233473.0,32488.0,582.0,1164.0
13-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,9775981.0,569758.0,5760.0,11520.0
14-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,14051455.0,1899419.0,24466.0,48932.0
15-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,669421.0,71497.0,4331.0,8662.0
17-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,33846023.0,3941350.0,143434.0,286868.0
18-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,549217.0,56761.0,459.0,918.0
19-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,604310.0,25506.0,1283.0,2566.0
20-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,893980.0,13664.0,336.0,672.0
21-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,2303690.0,59491.0,58.0,116.0
22-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,2705422.0,863665.0,20538.0,41076.0
24-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,2026898.0,303026.0,608.0,1216.0
25-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,63776166.0,29718402.0,298772.0,597544.0
27-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,717784.0,142788.0,1651.0,3302.0
28-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,9924259.0,1014302.0,110157.0,220314.0
29-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,248995.0,20439.0,32.0,64.0
02-03-2020,Delhi,28.7041,77.1025,1,0,0,0,0,0,400982.0,55613.0,91.0,182.0
02-03-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,2961934.0,133194.0,12.0,24.0
02-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0,0,1751774.0,117791.0,62.0,124.0
03-03-2020,Delhi,28.7041,77.1025,1,0,0,0,0,0,61436458.0,3499564.0,281554.0,563108.0
03-03-2020,Kerala,10.8505,76.2711,3,0,3,0,0,3,30126.0,9829.0,51.0,102.0
03-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0,0,222773.0,8553.0,14997.0,29994.0
04-03-2020,Delhi,28.7041,77.1025,1,0,0,0,0,0,81294.0,6859.0,7677.0,15354.0
04-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,191341.0,4874.0,2347.0,4694.0
04-03-2020,Kerala,10.8505,76.2711,3,0,3,0,0,0,1252808.0,74574.0,528.0,1056.0
04-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0,0,37693651.0,3468131.0,79669.0,159338.0
05-03-2020,Delhi,28.7041,77.1025,2,0,0,1,0,0,160000000.0,210454.0,6141.0,12282.0
05-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,34675581.0,5928829.0,26666.0,53332.0
05-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0,0,347815.0,20178.0,3516.0,7032.0
05-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0,0,17469.0,5291.0,118.0,236.0
05-03-2020,Uttar Pradesh,26.8467,80.9462,7,0,0,1,0,0,4401922.0,841683.0,16037.0,32074.0
06-03-2020,Delhi,28.7041,77.1025,3,0,0,1,0,0,1509861.0,81168.0,22.0,44.0
06-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,4838151.0,1111405.0,4115.0,8230.0
06-03-2020,Kerala,10.8505,76.2711,3,0,3,0,0,0,12920253.0,1095534.0,526.0,1052.0
06-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0,0,496693.0,42203.0,539.0,1078.0
06-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0,0,9477138.0,124370.0,352309.0,704618.0
06-03-2020,Uttar Pradesh,26.8467,80.9462,7,0,0,0,0,0,55323981.0,3871654.0,3948.0,7896.0
07-03-2020,Delhi,28.7041,77.1025,3,0,0,0,0,0,846704.0,50930.0,34756.0,69512.0
07-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,127345763.0,2960386.0,9994.0,19988.0
07-03-2020,Kerala,10.8505,76.2711,3,0,3,0,0,0,305941.0,15427.0,15.0,30.0
07-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0,0,194894.0,12323.0,299.0,598.0
07-03-2020,Tamil Nadu,11.1271,78.6569,1,0,0,0,0,0,3305829.0,575583.0,453.0,906.0
07-03-2020,Union Territory of Ladakh,34.2996,78.2932,2,0,0,0,0,0,3693367.0,442182.0,48850.0,97700.0
07-03-2020,Uttar Pradesh,26.8467,80.9462,7,0,0,0,0,0,1950448.0,150662.0,7298.0,14596.0
08-03-2020,Delhi,28.7041,77.1025,3,0,0,0,0,0,317211.0,15701.0,26.0,52.0
08-03-2020,Kerala,10.8505,76.2711,8,0,3,5,0,0,3345340.0,514836.0,56530.0,113060.0
08-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0,0,4836364.0,455757.0,7670.0,15340.0
08-03-2020,Tamil Nadu,11.1271,78.6569,1,0,0,0,0,0,778000.0,7693.0,26937.0,53874.0
08-03-2020,Union Territory of Ladakh,34.2996,78.2932,2,0,0,0,0,0,517703.0,62875.0,1036.0,2072.0
09-03-2020,Delhi,28.7041,77.1025,4,0,0,1,0,0,271490188.0,28156674.0,856871.0,1713742.0
09-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,631628.0,11254.0,70133.0,140266.0
09-03-2020,Maharashtra,19.7515,75.7139,2,0,0,0,0,0,155686.0,11591.0,43.0,86.0
