Date,Open,High,Low,Close,Volume,Symbol
2/1/2020,277.4268885,279.0500416,273.4728123,276.0302124,2543400,UNH
3/1/2020,271.0947667,275.4452079,268.3486158,273.236969,2711400,UNH
6/1/2020,271.7835686,275.2374882,271.0474892,275.133667,3079100,UNH
7/1/2020,274.3315729,275.0770697,271.3872265,273.4728088,2492900,UNH
8/1/2020,275.0865559,280.6354763,273.708772,279.2388,3379200,UNH
9/1/2020,277.7194468,280.4655971,277.1815348,277.6533813,2838200,UNH
10/1/2020,279.3991586,279.3991586,275.7564891,278.512085,2477900,UNH
13/01/2020,277.7949866,277.8704982,268.9714487,269.7547302,6994900,UNH
14/01/2020,269.5187664,272.0101013,268.2447749,272.0101013,6056300,UNH
15/01/2020,272.7461865,282.768232,272.727323,279.7200928,6081300,UNH
16/01/2020,281.2205643,284.0421977,279.2671126,283.8062744,3710300,UNH
17/01/2020,283.1173885,283.7685391,279.2199312,281.664093,4632200,UNH
21/01/2020,280.1731256,285.5049871,279.3426708,283.6081543,4962800,UNH
22/01/2020,284.9858679,285.1179988,280.607147,283.6647034,3117600,UNH
23/01/2020,283.1173761,283.6552593,279.9465523,282.5983276,3169600,UNH
24/01/2020,281.5413752,283.0418437,275.1431376,276.3227539,3678500,UNH
27/01/2020,271.7835932,271.859076,264.3001144,268.09375,4399400,UNH
28/01/2020,267.923929,272.1327925,267.3482612,269.7735596,4341000,UNH
29/01/2020,268.0088629,270.0755533,265.073991,266.9707947,3963800,UNH
30/01/2020,265.9704367,265.9704367,260.3837901,265.1588745,4211800,UNH
31/01/2020,262.507024,263.0826628,255.9105921,257.1091003,5532600,UNH
3/2/2020,259.6383042,261.2614576,255.570989,258.5907898,5646800,UNH
4/2/2020,261.6671887,267.5369602,261.2897173,265.0267334,4290200,UNH
5/2/2020,269.518724,280.2768184,269.3677297,279.0783386,5761000,UNH
6/2/2020,280.2768677,280.5316545,273.6710156,275.9924927,3044000,UNH
7/2/2020,276.3793799,276.8701187,272.6423635,272.934906,3425900,UNH
10/2/2020,270.1132821,273.0009807,269.3772027,270.8682251,3147400,UNH
11/2/2020,270.6984113,275.1526445,269.8018912,274.4165649,2992200,UNH
12/2/2020,278.3894703,287.8264015,277.4552233,286.3919983,6701900,UNH
13/02/2020,283.2400764,288.6757294,283.2400764,285.184082,3565500,UNH
14/02/2020,285.1934951,286.8544042,280.5694045,281.9566345,2485600,UNH
18/02/2020,282.7965183,286.269302,282.1642313,285.1274414,3241700,UNH
19/02/2020,286.2881905,289.4401222,285.6842418,288.1189575,3021100,UNH
20/02/2020,286.1278007,287.0337381,281.1167919,285.118042,2885500,UNH
21/02/2020,283.5514602,285.4766021,281.7961761,284.4573975,2987100,UNH
24/02/2020,270.7361425,272.7178751,262.0069808,262.1485291,8790600,UNH
25/02/2020,264.3756021,266.1025765,247.2570252,248.5593262,8171200,UNH
26/02/2020,249.814376,254.6366327,244.1427727,248.1912231,6806600,UNH
27/02/2020,243.8692076,247.3891648,237.8767501,239.6225739,7604300,UNH
28/02/2020,232.3372282,242.6234912,231.4879102,240.6039886,9961000,UNH
2/3/2020,242.8499944,257.8547099,236.2252788,257.7320251,8866300,UNH
3/3/2020,259.8459442,264.5644105,244.6336135,246.6814117,9188100,UNH
4/3/2020,273.6709865,279.1821505,266.3196096,273.1236572,14533000,UNH
5/3/2020,265.7439959,273.1236832,264.1774618,267.0274048,5908400,UNH
6/3/2020,259.9120684,268.9243296,256.590249,267.886261,5361900,UNH
9/3/2020,249.5690232,265.5929394,244.6429449,258.043396,8070700,UNH
