Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered,total_tests,total_recovered,active_cases
30-01-2020,Kerala,10.8505,76.2711,1,0,0,0,0,0,951337,162202,9375
31-01-2020,Kerala,10.8505,76.2711,1,0,0,0,0,0,1817530,271826,251
01-02-2020,Kerala,10.8505,76.2711,2,0,0,1,0,0,230861,178371,80570
02-02-2020,Kerala,10.8505,76.2711,3,0,0,1,0,0,249838,41021,982
03-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,1499795,97149,145
04-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,51382,2916,59
05-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,18901,7511,73
06-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,35716069,8895999,76591
07-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,3068217,412048,2225
08-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,177885,35199,281
09-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,70885598,6199822,386179
10-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,185034905,4135885,58304
11-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,6838458,782869,60
12-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,233473,32488,582
13-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,9775981,569758,5760
14-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,14051455,1899419,24466
15-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,669421,71497,4331
16-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,13220483,,
17-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,33846023,3941350,143434
18-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,549217,56761,459
19-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,604310,25506,1283
20-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,893980,13664,336
21-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,2303690,59491,58
22-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,2705422,863665,20538
23-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,1767199,,
24-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,2026898,303026,608
25-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,63776166,29718402,298772
26-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,103637,,
27-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,717784,142788,1651
28-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,9924259,1014302,110157
29-02-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,248995,20439,32
01-03-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,345742,,
02-03-2020,Delhi,28.7041,77.1025,1,0,0,0,0,0,400982,55613,91
02-03-2020,Kerala,10.8505,76.2711,3,0,0,0,0,0,2961934,133194,12
02-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0,0,1751774,117791,62
03-03-2020,Delhi,28.7041,77.1025,1,0,0,0,0,0,61436458,3499564,281554
03-03-2020,Kerala,10.8505,76.2711,3,0,3,0,0,3,30126,9829,51
03-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0,0,222773,8553,14997
04-03-2020,Delhi,28.7041,77.1025,1,0,0,0,0,0,81294,6859,7677
04-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,191341,4874,2347
04-03-2020,Kerala,10.8505,76.2711,3,0,3,0,0,0,1252808,74574,528
04-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0,0,37693651,3468131,79669
04-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0,0,44972952,,
04-03-2020,Uttar Pradesh,26.8467,80.9462,6,0,0,0,0,0,5375,82,0
05-03-2020,Delhi,28.7041,77.1025,2,0,0,1,0,0,160000000,210454,6141
05-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,34675581,5928829,26666
05-03-2020,Kerala,10.8505,76.2711,3,0,3,0,0,0,,7933,7
05-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0,0,347815,20178,3516
05-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0,0,17469,5291,118
05-03-2020,Uttar Pradesh,26.8467,80.9462,7,0,0,1,0,0,4401922,841683,16037
06-03-2020,Delhi,28.7041,77.1025,3,0,0,1,0,0,1509861,81168,22
06-03-2020,Haryana,29.0588,76.0856,14,0,0,0,0,0,4838151,1111405,4115
06-03-2020,Kerala,10.8505,76.2711,3,0,3,0,0,0,12920253,1095534,526
06-03-2020,Rajasthan,27.0238,74.2179,1,0,0,0,0,0,496693,42203,539
06-03-2020,Telengana,18.1124,79.0193,1,0,0,0,0,0,9477138,124370,352309
06-03-2020,Uttar Pradesh,26.8467,80.9462,7,0,0,0,0,0,55323981,3871654,3948
